Code,LocalCode,Name,G0,G1,G2,G3,G4,G5,G6,PeerGroup,OptimiserCategory,Type,IRDuration,Hurdle,E-score,S-score,G-score,ESG-score,Controversy-score,Controversy-Items,,Citicode,LastPrice,MarketCap,Exchange,ShortSell%,Date,Basic EPS,Total Revenues,Dividend per Share - Net,Total Assets,Total Liabilities,Growth of Net Income (%),Growth of Net Sales (%),Growth of Free Cash Flow (%),Return on Total Equity (%),Payout Ratio,Total Debt / Total Assets,Net Profit Margin (%),Interest Cover (EBIT)
MP1-AU,MP1,MEGAPORT LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Information Technology,,,,,ASXStock,,,,,,,,,,E36S,951,1510026330,ASX,0.121451714,30/06/2023,-0.061768,153083000,0,202226000,74299000,79.8453,39.5075,94.0702,-7.2353,0,0.121309,-6.3847,-12.405336
PXA-AU,PXA,PEXA GROUP LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Real Estate,,,,,ASXStock,,,,,,,,,,T00X,1087,1407099543,ASX,0.021301876,30/06/2023,-0.123188,281688000,0,1683212000,441264000,-199.9496,0.6607,-112.6666,-1.7425,0,0.182013,-7.7532,0.636442
360-AU,360,LIFE360 INC. CDI INC,Growth,Australian Shares,Australian Shares,Australian Shares,Information Technology,,,,,ASXStock,,,,,,,,,,QBD3,775,1553828500,ASX,0.014319459,30/06/2023,-0.403315,401801555,0,468490018,111326235,36.0038,76.7826,30.8757,-22.2121,0,0.030313,-19.4097,0
CCP-AU,CCP,CREDIT CORP GROUP LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Financials,,,,,ASXStock,,,,,,,,,,0R0K,1207,821568690,ASX,0.046489587,30/06/2023,1.342202,394671000,0.7,1248787000,431371000,-9.3977,0,7.2382,11.7134,0.438943,0.273618,23.1207,0
INA-AU,INA,INGENIA COMMUNITIES GROUP STAPLED,Growth,Australian Shares,Australian Shares,Australian Shares,Real Estate,,,,,ASXStock,,,,,,,,,,GQKD,390,1462407804,ASX,0.032988352,30/06/2023,0.157926,389682000,0.11,2378131000,841344000,-32.8086,26.2321,11.0099,4.2189,0.696526,0.27823,16.518,5.557204
CGC-AU,CGC,COSTA GROUP HOLDINGS LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Consumer Staples,,,,,ASXStock,,,,,,,,,,MKAV,310,1224510850,ASX,0.047872458,44964,0.046306,1419602000,0.05,2209283000,1361603000,-48.5606,7.8045,-20.6196,4.9972,1.942967,0.515461,1.5154,1.454732
SGR-AU,SGR,THE STAR ENTERTAINMENT GROUP LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Consumer Discretionary,,,,,ASXStock,,,,,,,,,,0R2Y,53,1157386346,ASX,0.051352558,30/06/2023,-2.11727,1867500000,0,3260300000,1489300000,-1102.5679,22.2906,258.6475,-93.6381,0,0.232248,-130.3989,1.36574
AVZ-AU,AVZ,AVZ MINERALS LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Materials,,,,,ASXStock,,,,,,,,,,0QKN,78,2752409203,ASX,0,30/06/2023,-0.003927,0,0,206939142,4934232,31.1905,0,754.2125,-6.9096,0,0.00553,0,-177.876712
KLS-AU,KLS,KELSIAN GROUP LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Industrials,,,,,ASXStock,,,,,,,,,,JV1K,602,1312760812,ASX,0.021353695,30/06/2023,0.090743,1427260000,0.17,2178066000,1254459000,-60.3118,9.2824,48.1011,2.6859,1.769227,0.370227,1.4712,3.545605
GUD-AU,GUD,GUD HOLDINGS LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Consumer Discretionary,,,,,ASXStock,,,,,,,,,,0R6P,1064,1499122800,ASX,0.038381147,30/06/2023,0.694958,1036900000,0.39,1792928000,903468000,258.1681,25.4156,23.6248,11.3559,0.561185,0.321596,9.4431,5.811047
BLD-AU,BLD,BORAL LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Materials,,,,,ASXStock,,,,,,,,,,0QMN,450,1340251920,ASX,0.011640409,30/06/2023,0.134259,3460600000,0,3938700000,1912900000,-84.5825,17.0743,-19.2142,8.0544,0,0.252951,4.2796,3.746402
RRL-AU,RRL,REGIS RESOURCES LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Materials,,,,,ASXStock,,,,,,,,,,0Q7I,173,1306295320,ASX,0.079443555,30/06/2023,-0.032235,1133732000,0,2372602000,832761000,-276.646,11.6209,25.0699,-1.5612,-0.620597,0.161655,-2.1462,0.066214
CRN-AU,CRN,CORONADO GLOBAL RESOURCES CDI INC,Growth,Australian Shares,Australian Shares,Australian Shares,Materials,,,,,ASXStock,,,,,,,,,,PPGV,173,1445941575,ASX,0.033276493,30/06/2023,0.366544,4635141883,0,4037155898,2110109498,-51.7354,-7.8904,-33.2401,32.2166,0,0.111783,13.2572,9.050678
LOV-AU,LOV,LOVISA HOLDINGS LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Consumer Discretionary,,,,,ASXStock,,,,,,,,,,M0TT,1732,1120590144,ASX,0.058852627,44964,0.632534,596456000,0.69,518403000,438414000,16.7451,30.0284,58.8876,94.4675,1.186462,0.71872,11.4281,8.18419
ARF-AU,ARF,ARENA REIT STAPLED UNITS,Growth,Australian Shares,Australian Shares,Australian Shares,Real Estate,,,,,ASXStock,,,,,,,,,,KGJZ,317,1115716370,ASX,0.011700405,30/06/2023,0.212858,74741000,0.168,1568296000,368989000,-77.7919,11.3569,12.4892,6.2694,0.601206,0.217301,99.3283,7.279807
UMG-AU,UMG,UNITED MALT GROUP LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Consumer Staples,,,,,ASXStock,,,,,,,,,,R0NU,498,1492786434,ASX,0,31/03/2023,-0.027408,1514000000,0,2177100000,1107600000,-218.8405,16.5535,-18.1663,-0.7772,-0.54878,0.366726,-0.5416,0.531365
MFG-AU,MFG,MAGELLAN FINANCIAL GROUP LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Financials,,,,,ASXStock,,,,,,,,,,0PUO,649,1059744312,ASX,0.054244596,30/06/2023,1.000471,430758000,0.825,1198974000,236472000,-52.3107,-43.3657,-25.8828,18.364,1.116312,0.008483,42.4031,656.588888
EVT-AU,EVT,EVT LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Communication,,,,,ASXStock,,,,,,,,,,0PFZ,1039,1089528648,ASX,0.008734536,30/06/2023,0.660512,1173642000,0.34,2720786000,1710958000,99.7843,37.7685,270.1606,11.0358,0.212017,0.513895,9.0767,2.562696
HMC-AU,HMC,HMC CAPITAL LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Real Estate,,,,,ASXStock,,,,,,,,,,WP8U,425,1034148675,ASX,0.007026695,30/06/2023,0.183667,87445000,0.12,1344816000,144416000,-26.0818,-12.5458,-72.4096,8.1443,0.631547,0.066906,65.2993,4.06725
MND-AU,MND,MONADELPHOUS GROUP LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Industrials,,,,,ASXStock,,,,,,,,,,0PXQ,1405,1355895250,ASX,0.010343204,30/06/2023,0.558491,1725691000,0.49,768174000,330196000,2.5354,-4.6784,10.4952,12.2155,0.786022,0.115505,3.1026,18.288984
NAN-AU,NAN,NANOSONICS LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Health Care,,,,,ASXStock,,,,,,,,,,0PYX,373,1059980359,ASX,0.047992513,30/06/2023,0.065954,165993000,0,219920000,56060000,431.3468,37.9596,82.0515,13.1435,0,0.048744,11.9782,23.079118
FBU-AU,FBU,FLETCHER BUILDING LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Industrials,,,,,ASXStock,,,,,,,,,,0R63,400,972512000,ASX,0.013239748,30/06/2023,0.276244,7795062387,0.312944,8358361263,4973965892,-45.6018,-0.3412,14.6417,6.8261,1.323404,0.374297,2.7748,4.132596
CXO-AU,CXO,CORE LITHIUM LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Materials,,,,,ASXStock,,,,,,,,,,0R03,36,669066120,ASX,0.053736623,30/06/2023,0.005943,50598000,0,503143000,148221000,244.7897,0,185.2159,3.6418,0,0.045601,21.3644,3.88498
KAR-AU,KAR,KAROON ENERGY LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Energy,,,,,ASXStock,,,,,,,,,,0RDO,252,1425669840,ASX,0.035666348,30/06/2023,0.435552,851166250,0,1788576000,1076992000,353.1055,47.1046,86.384,43.4782,0,0.231602,28.7731,13.556818
NWL-AU,NWL,NETWEALTH GROUP LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Financials,,,,,ASXStock,,,,,,,,,,OB9S,1270,1486759536,ASX,0.027012246,30/06/2023,0.275366,214749000,0.24,161885000,38836000,20.8831,19.7519,17.6932,59.0896,0.762557,0.083923,31.2704,227.070953
CNI-AU,CNI,CENTURIA CAPITAL STAPLED UNITS,Growth,Australian Shares,Australian Shares,Australian Shares,Real Estate,,,,,ASXStock,,,,,,,,,,0QPN,115,915767565,ASX,0.010957271,30/06/2023,0.040496,370115000,0.116,2329862000,912073000,56.4616,23.4885,-0.842,7.4312,2.894917,0.18468,8.724,4.587955
NWH-AU,NWH,NRW HOLDINGS LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Industrials,,,,,ASXStock,,,,,,,,,,0Q0G,250,1122985000,ASX,0.018407341,30/06/2023,0.190129,2667064000,0.165,1489921000,879799000,-5.0662,12.6565,-0.2416,14.258,0.815098,0.209353,3.2108,7.38254
SYA-AU,SYA,SAYONA MINING LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Materials,,,,,ASXStock,,,,,,,,,,0R1U,8,679357536,ASX,0.222693586,30/06/2023,-0.001567,1695000,0,1009573000,124750000,-126.4793,0,1838.3661,-1.7886,0,0.030918,-803.8938,-18.187924
ELD-AU,ELD,ELDERS LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Consumer Staples,,,,,ASXStock,,,,,,,,,,0R37,593,927908610,ASX,0.059006277,31/03/2023,0.770439,3587757000,0.51,2307314000,1450671000,-30.2099,21.0747,-23.5488,15.1892,0.696025,0.258168,3.3602,11.130755
SPK-AU,SPK,SPARK NEW ZEALAND LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Communication,,,,,ASXStock,,,,,,,,,,0QE3,455,1006082350,ASX,0.007435354,30/06/2023,0.558652,4133619693,0.248514,4125335886,2339715266,176.8292,20.7258,94.519,66.4714,0.428193,0.427933,25.2727,12.848484
ASK-AU,ASK,ABACUS PROPERTY GROUP STAPLED UNIT,Growth,Australian Shares,Australian Shares,Australian Shares,Real Estate,,,,,ASXStock,,,,,,,,,,ATVU6,100,536088319,ASX,0.004231175,No data is available,0,0,0,0,0,0,0,0,0,0,0,0,0
PNV-AU,PNV,POLYNOVO LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Health Care,,,,,ASXStock,,,,,,,,,,0QO2,116,797219115,ASX,0.0246272,30/06/2023,-0.007194,65665392,0,92620649,27237507,-312.9481,57.4365,-458.7923,-11.8523,0,0.173219,-7.4994,-7.125208
CKF-AU,CKF,COLLINS FOODS LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Consumer Discretionary,,,,,ASXStock,,,,,,,,,,0QZ6,909,1003905054,ASX,0.008235576,30/04/2023,0.108775,1348614000,0.27,1370372000,985874000,-76.7404,14.125,-27.0799,2.8991,2.304801,0.615429,0.9451,1.517664
SLR-AU,SLR,SILVER LAKE RESOURCES LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Materials,,,,,ASXStock,,,,,,,,,,0QAG,105,976231200,ASX,0.06219797,30/06/2023,0.033146,719628000,0,1342417000,254006000,-60.3043,13.4047,15.4321,2.8783,0,0.033233,4.2849,20.775377
DHG-AU,DHG,DOMAIN HOLDINGS AUSTRALIA LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Communication,,,,,ASXStock,,,,,,,,,,OB4H,338,854000264,ASX,0.011623236,30/06/2023,0.04139,345787000,0.06,1490124000,387838000,-19.2961,-0.536,23.2482,3.5721,1.45218,0.160728,7.5474,4.951393
ING-AU,ING,INGHAMS GROUP LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Consumer Staples,,,,,ASXStock,,,,,,,,,,NKFN,368,1299393280,ASX,0.047229657,24/06/2023,0.162496,3044000000,0.145,2574300000,2372500000,72.0797,12.1963,28.6951,33.5555,0.307947,0.73787,1.9842,1.907124
CQE-AU,CQE,CHARTER HALL SOCIAL INFRASTRUCTURE,Growth,Australian Shares,Australian Shares,Australian Shares,Real Estate,,,,,ASXStock,,,,,,,,,,0PKL,238,800306416,ASX,0.021489012,30/06/2023,0.159858,119200000,0.172,2265700000,775600000,-83.6262,13.1243,-20.9796,3.9357,0.921635,0.32608,49.2449,2.979094
JLG-AU,JLG,JOHNS LYNG GROUP LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Industrials,,,,,ASXStock,,,,,,,,,,O9SV,610,1314711528,ASX,0.035085251,30/06/2023,0.179424,1281312000,0.09,785482000,391307000,88.3104,43.1606,39.3808,17.2793,0.417943,0.107971,3.656,25.215002
NWS-AU,NWS,NEWS CORPORATION CLASS B VOTING CD,Growth,Australian Shares,Australian Shares,Australian Shares,Communication,,,,,ASXStock,,,,,,,,,,K41X,3337,994125670,ASX,0.005596754,30/06/2023,0.388398,14843197500,0.3005,25423802500,11983940000,-76.0834,-4.918,-25.9722,2.0676,0.778523,0.248803,1.5082,7.395833
BGA-AU,BGA,BEGA CHEESE LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Consumer Staples,,,,,ASXStock,,,,,,,,,,0QLG,278,752770402,ASX,0.033108084,30/06/2023,-0.756618,3376000000,0.075,2153100000,1149400000,-1050,12.1631,-26.312,-20.2903,-0.116572,0.216943,-6.8098,0.701923
WAF-AU,WAF,WEST AFRICAN RESOURCES LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Materials,,,,,ASXStock,,,,,,,,,,0QIC,74,759323620,ASX,0.029613695,30/06/2023,0.140875,595579000,0,1001893000,171476000,-34.0834,-22.4197,-9.3757,21.5679,0,0.01967,24.183,102.100483
GOZ-AU,GOZ,GROWTHPOINT PROPERTIES AUSTRALIA R,Growth,Australian Shares,Australian Shares,Australian Shares,Real Estate,,,,,ASXStock,,,,,,,,,,0R90,197,534631838,ASX,0.068156366,30/06/2023,-0.321297,332900000,0.214,5210800000,2156500000,-153.4843,7.1122,11.5091,-7.4716,-0.661237,0.38875,-73.7759,2.948655
LNK-AU,LNK,LINK ADMINISTRATION HLDG PTY LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Industrials,,,,,ASXStock,,,,,,,,,,MUME,119,610454530,ASX,0.028476004,30/06/2023,-0.816893,955629000,0.085,3024333000,2779706000,-514.7842,8.1796,150.4431,-2.3439,-0.153633,0.376924,-43.6756,1.979685
CMW-AU,CMW,CROMWELL PROPERTY GROUP STAPLED UN,Growth,Australian Shares,Australian Shares,Australian Shares,Real Estate,,,,,ASXStock,,,,,,,,,,0R0Q,32,444159843,ASX,0.063227273,30/06/2023,-0.16946,359000000,0.055,4215700000,2003500000,-268.617,-2.5437,-38.7182,-18.0311,0,0.432692,-123.6211,1.775058
IMU-AU,IMU,IMUGENE LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Health Care,,,,,ASXStock,,,,,,,,,,0RBG,4,276190677,ASX,0.083149796,30/06/2023,-0.006041,11777628,0,197062931,7436929,-0.1207,0,-5.528,-23.0955,0,0.002808,-321.9229,-1439.390886
BRN-AU,BRN,BRAINCHIP HOLDINGS LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Information Technology,,,,,ASXStock,,,,,,,,,,0QKS,16,250371931,ASX,0.064364613,30/06/2023,-0.025672,534555,0,41659437,6810244,-55.3681,-93.7053,-58.2854,-113.7902,0,0.064675,-8707.322,-287.646551
SYR-AU,SYR,SYRAH RESOURCES LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Materials,,,,,ASXStock,,,,,,,,,,0QDG,67,426998562,ASX,0.249394239,30/06/2023,-0.104745,127470598,0,978428000,372218833,-32.7182,21.4797,15399.2509,-12.952,0,0.288683,-65.451,-7.880547
LKE-AU,LKE,LAKE RESOURCES,Growth,Australian Shares,Australian Shares,Australian Shares,Materials,,,,,ASXStock,,,,,,,,,,0REK,16,227591200,ASX,0.022661408,30/06/2023,-0.032602,43696631,0,193417314,17092826,-705.0917,0,167.7533,-23.916,0,0.008648,-104.7085,-57.545869
ABG-AU,ABG,Abacus Group,Growth,Australian Shares,Australian Shares,Australian Shares,Real Estate,,,,,ASXStock,,,,,,,,,,0P8S,96,411797606,ASX,0.030153942,30/06/2023,0.028535,141350000,0.184,5606174000,2244485000,-95.0702,11.9958,-30.3349,-6.9436,6.532535,0.179535,18.0367,5.918831
TRS-AU,TRS,The Reject Shop Limited,Growth,Australian Shares,Australian Shares,Australian Shares,Consumer Discretionary,,,,,ASXStock,,,12,13,14,15,16,,,#N/A,520,199409168,ASX,0.001468137,44964,0.271563,819340000,0.065,499272000,317337000,30.4732,3.9453,-20.5129,5.7479,0,0.457524,1.2583,2.064472
