Date,AUD,IOZ-AU,HOW2217AU,SCH0101AU,AAP5529AU,CNA0812AU,ALR2783AU,HOW0035AU,PIM0028AU,DDH0002AU,ANT0002AU,RFA0818AU,ASX6124AU,IVV-AU,IHVV-AU,VEQ-AU,IJP-AU,VGAD-AU,VAE-AU,ETL7377AU,HOW6479AU,GSF6910AU,PIM7802AU,MAQ0633AU,AAP8285AU,FRT0009AU,MUA0002AU,SWI1413AU,ETL0483AU,ETL4207AU,ETL0171AU,IVE-AU,IKO-AU,BLK4709AU,BLK9419AU,VBLD-AU,LAM0044AU,GTU5547AU,TGP0016AU,SAI0004AU,GPEQ-AU,AUS0035AU,EQI4297AU,MAQ5143AU,SCH0038AU,FSM8350AU,ETL2119AU,PIM1038AU,CNA0805AU,ETL6849AU,PER0728AU,WHT5134AU,IAF-AU,AESG-AU,ILB-AU,SSB0122AU,ETL5525AU,FRT0027AU,ETL0018AU,ETL0019AU,CIM0008AU,FLOT-AU,BHYB-AU,ISEC-AU,IOF0127AU,WPC1963AU,CSA0038AU,JBW4379AU,HOW0098AU,IOF0145AU,HOW0052AU,OMF0005AU,ETL0379AU,OMF0018AU,BILL-AU,VGS-AU,IEU-AU,IEM-AU,IZZ-AU,WVOL-AU,VBND-AU,IGB-AU,IHCB-AU,IHHY-AU,IHEB-AU,SSB0495AU,ATCHBM00001,ATCHBM00001_25,ATCHBM00001_50,ATCHBM00001_75,ATCHBM00001_100,ATCHBM00001_125,ATCHBM00001_150,ATCHBM00001_175,ATCHBM00001_200,ATCHBM00001_225,ATCHBM00001_250,ATCHBM00001_275,ATCHBM00001_300,ATCHBM00001_325,ATCHBM00001_350,ATCHBM00001_375,ATCHBM00001_400,ATCHBM00001_425,ATCHBM00001_450,ATCHBM00001_475,ATCHBM00001_500,ATCHBM00001_525,ATCHBM00001_550,ATCHBM00001_575,ATCHBM00001_600,ATCHBM00001_625,ATCHBM00001_650,ATCHBM00001_675,ATCHBM00001_700,ATCHBM00001_725,ATCHBM00001_750,ATCHBM00002,ATCHBM00003,ATCHBM00004,ATCHBM00005,ATCHBM00006,ATCHBM00007,ATCHBM00008,ATCHBM00009,ATCHBM00010,ATCHBM00011,ATCHBM00012,ATCHBM00013,ATCHBM00014,ATCHBM00015,ATCHBM00016,ATCHBM00017,ATCHBM00018,ATCHBM00019,ATCHBM00020,ATCHBM00021,ATCHBM00022,ATCHBM00023,ATCHBM00024,ATCHBM00025,ATCHBM00026,ATCHBM00027,ATCHBM00028,JBW0052AU,A200-AU,VAP-AU,DJRE-AU,IMPQ-AU,IWLD-AU,ETHI-AU,VIF-AU,MICH-AU,CRYP-AU,MOAT-AU,MNRS-AU,RBTZ-AU,BFL0004AU,COL0001AU,PIM5346AU,FID0021AU,FID0026AU,PRM0015AU,PER0072AU,BFL0020AU,SCH0034AU,VAN0003AU,VAN0102AU,BHP-AU,CBA-AU,CSL-AU,NAB-AU,WBC-AU,ANZ-AU,WDS-AU,MQG-AU,WES-AU,TLS-AU,WOW-AU,TCL-AU,RIO-AU,FMG-AU,GMG-AU,ALL-AU,STO-AU,COL-AU,NEM-AU,QBE-AU,BXB-AU,JHX-AU,SUN-AU,S32-AU,XRO-AU,SHL-AU,COH-AU,WTC-AU,SCG-AU,IAG-AU,ORG-AU,CPU-AU,NST-AU,RMD-AU,PLS-AU,MIN-AU,ASX-AU,QAN-AU,APA-AU,TLC-AU,RHC-AU,SGP-AU,BSL-AU,MPL-AU,IGO-AU,MGR-AU,CAR-AU,AKE-AU,AMC-AU,DXS-AU,SEK-AU,EDV-AU,GPT-AU,REA-AU,TWE-AU,SOL-AU,VCX-AU,ALD-AU,ALX-AU,AGL-AU,ORI-AU,AZJ-AU,EVN-AU,NXT-AU,WOR-AU,WHC-AU,LYC-AU,SDF-AU,CWY-AU,IPL-AU,LLC-AU,ALQ-AU,CHC-AU,BEN-AU,LTR-AU,QUB-AU,IEL-AU,JBH-AU,ALU-AU,ILU-AU,TNE-AU,CGF-AU,REH-AU,SVW-AU,VUK-AU,NHF-AU,BOQ-AU,FLT-AU,FPH-AU,A2M-AU,MTS-AU,CNU-AU,PME-AU,SQ2-AU,AWC-AU,AMP-AU,RWC-AU,DMP-AU,NEC-AU,ANN-AU,DOW-AU,WEB-AU,SFR-AU,ORA-AU,RGN-AU,TLX-AU,NSR-AU,NHC-AU,PPT-AU,CLW-AU,CSR-AU,CTD-AU,AUB-AU,BPT-AU,APE-AU,TAH-AU,PRU-AU,SGM-AU,HVN-AU,ARB-AU,CIA-AU,BKW-AU,PMV-AU,BRG-AU,HUB-AU,TPG-AU,BAP-AU,VEA-AU,CHN-AU,NUF-AU,PDN-AU,DRR-AU,SUL-AU,IFL-AU,CQR-AU,IPH-AU,IRE-AU,DEG-AU,HDN-AU,GNC-AU,BWP-AU,AIA-AU,GOR-AU,CIP-AU,WPR-AU,PNI-AU,CMM-AU,NIC-AU,HLS-AU,IVC-AU,LIC-AU,VNT-AU,BGL-AU,MP1-AU,PXA-AU,360-AU,CCP-AU,INA-AU,CGC-AU,SGR-AU,AVZ-AU,KLS-AU,GUD-AU,BLD-AU,RRL-AU,CRN-AU,LOV-AU,ARF-AU,UMG-AU,MFG-AU,EVT-AU,HMC-AU,MND-AU,NAN-AU,FBU-AU,CXO-AU,KAR-AU,NWL-AU,CNI-AU,NWH-AU,SYA-AU,ELD-AU,SPK-AU,ASK-AU,PNV-AU,CKF-AU,SLR-AU,DHG-AU,ING-AU,CQE-AU,JLG-AU,NWS-AU,BGA-AU,WAF-AU,GOZ-AU,LNK-AU,CMW-AU,IMU-AU,BRN-AU,SYR-AU,LKE-AU,ABG-AU,TRS-AU,29M-AU,5EA-AU,AX1-AU,ADH-AU,ABC-AU,ADT-AU,APM-AU,APX-AU,ARU-AU,AGY-AU,AD8-AU,ABB-AU,ASB-AU,AAC-AU,ACL-AU,AEF-AU,AFG-AU,BBN-AU,BOE-AU,BCB-AU,CXL-AU,COF-AU,CUV-AU,CDA-AU,COE-AU,DBI-AU,DTL-AU,DYL-AU,DXI-AU,DDR-AU,EBO-AU,EHE-AU,FFX-AU,FPR-AU,GEM-AU,GDI-AU,GMD-AU,GRR-AU,GWA-AU,HSN-AU,HAS-AU,HLI-AU,HPI-AU,IMD-AU,IHL-AU,IFM-AU,IDX-AU,INR-AU,JHG-AU,JRV-AU,JDO-AU,JIN-AU,KGN-AU,LLL-AU,MAF-AU,MGH-AU,MYX-AU,MMS-AU,MSB-AU,MNY-AU,MYS-AU,NMT-AU,NEU-AU,NCK-AU,NVX-AU,OFX-AU,OBL-AU,OML-AU,PRN-AU,PTM-AU,PBH-AU,PWH-AU,RMS-AU,RED-AU,RNU-AU,RSG-AU,RIC-AU,RFF-AU,SHV-AU,SSM-AU,SIG-AU,SLX-AU,SDR-AU,SKC-AU,SIQ-AU,SSR-AU,SBM-AU,STX-AU,TLG-AU,TPW-AU,TER-AU,TIE-AU,TYR-AU,URW-AU,VUL-AU,WBT-AU,WGX-AU,ZIP-AU
31/12/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/01/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,0,,,0,0,0,,,,,0,0,,,,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/01/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00027785,0.00000138,0.00027724,-0.00000832,,0,-0.00000117,0.00082714,0.00082942,0.00061367,0.000263,0.00019622,,0.00047024,0.00015501,,0.00028695,,0.00041641,,,0.00017898,,0.0000984,0.0000956,0.0000149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/01/2017,0.00034852,0.01186927,0.01186927,0.01178776,0.00741714,0.00062386,,0.01194458,0.00955375,0.01023588,0.01022663,0.01170404,0.01186927,0.01143978,0.0072913,0.00663178,-0.00895759,0.0079658,0.00778898,0.00678179,0.00812735,0.00637784,0.00439221,0.00678179,0.00439221,0.0048288,0.00678179,0.00678179,0.01283624,0.00812735,0.00404945,-0.00132813,0.0175941,0.00655053,0.00161877,0.00778107,,,0.00778107,,,0.00695958,0.00178937,0.00178937,,,0.00178937,0.00178937,0,,0.00089734,,0.00107513,0.0000998,0.00148709,0.00110241,0.0000998,0.00079242,-0.00132334,0.00019304,0.0054349,0.00082475,0.00096689,0.00034852,-0.0000973,0.00082475,0.00142216,,-0.00055062,0.00053244,0.00082475,,0.00082475,0.0005694,0.00034852,0.00659249,-0.00113306,0.01003119,0.00668051,0.00533218,-0.00000832,0.00103277,0.00961175,0.00090963,0.00041198,0.00178937,,0.00000684,0.00001366,0.00002047,0.00002726,0.00003403,0.00004079,0.00004753,0.00005426,0.00006096,0.00006765,0.00007433,0.00008099,0.00008763,0.00009425,0.00010087,0.00010746,0.00011404,0.0001206,0.00012715,0.00013368,0.0001402,0.0001467,0.00015318,0.00015965,0.00016611,0.00017255,0.00017897,0.00018538,0.00019178,0.00019816,0.00178937,0.00034852,0.00106917,-0.00029684,0.00065926,0.00593253,0.00096689,0.00637784,0.00926595,0.00945779,0.00741714,0.00655053,0.00812735,0.000053,0.00410616,0.00161877,0.00561325,0.00439221,0.00623578,0.000015,0.00630866,0.00415273,0.00185312,0.00326157,0.00564748,0.00013773,-0.00022989,0.00911422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/01/2017,0.0000417,0.00056479,0.00056479,-0.00068318,-0.00043392,0.00678629,,0.00189193,0.00052061,-0.00125172,-0.00147406,0.00064272,0.00056479,-0.00227545,0,-0.0000251,0.02197818,0.00661247,-0.00565548,0,-0.00393853,-0.00253162,0.00510501,0,0.00510501,0.00347418,0,0,-0.00642997,-0.00393853,-0.0009243,0.00480542,-0.00910949,-0.01017972,0.00652756,-0.00118186,,,-0.00118186,,,-0.00113474,0.00075125,0.00075125,,,0.00075125,0.00075125,0.00073922,,-0.00072609,,-0.00169433,-0.00219872,-0.00256657,-0.00157291,-0.00219872,0.00049511,-0.00081158,0.00030888,0.00214074,0.00032951,0.00043432,0.0000417,0.00087378,0.00032951,0.00123119,,-0.00099114,-0.00056759,0.00032951,,0.00032951,0.0000947,0.0000417,0.0009347,-0.00054299,-0.00473659,-0.00924771,-0.00155728,-0.00029684,-0.0022435,-0.00920097,0.00475117,0.00632313,0.00075125,,0.00000684,0.00001366,0.00002047,0.00002726,0.00003403,0.00004079,0.00004753,0.00005426,0.00006096,0.00006765,0.00007433,0.00008099,0.00008763,0.00009425,0.00010087,0.00010746,0.00011404,0.0001206,0.00012715,0.00013368,0.0001402,0.0001467,0.00015318,0.00015965,0.00016611,0.00017255,0.00017897,0.00018538,0.00019178,0.00019816,0.00075125,0.0000417,-0.00145892,-0.0013261,-0.00213807,0.005534,0.00043432,-0.00253162,0.00025544,0.00075295,-0.00043392,-0.01017972,-0.00393853,-0.00134192,0.00083949,0.00652756,0.00100039,0.00510501,0.00538822,0.00000475,0.00193021,0.0005279,-0.00033206,0.00082055,0.00087738,0.00032911,-0.00016592,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/01/2017,0.0000314,0.00294462,0.00294462,0.00222158,0.0007908,-0.00220017,,0.00400271,0.00190762,-0.00375948,0.00039361,0.00220214,0.00294462,-0.00959697,0.00514105,0.0000355,0.00683805,0.00028796,0.00507199,-0.00321425,0.00138636,0.00578813,-0.00683377,-0.00321425,-0.00683377,-0.00024158,-0.00321425,-0.00321425,-0.00121928,0.00138636,-0.00454085,0.00446868,0.00362939,-0.00115576,0.00274914,0.002682,,,0.002682,,,-0.00547354,-0.00087312,-0.00087312,,,-0.00087312,-0.00087312,0.00041045,,0.00081799,,0.00236374,0.00150271,0.00414167,0.00232161,0.00150271,0.0000992,0.00203079,0.00298714,0.00366381,0,0.00062111,0.0000314,0.00048555,0,-0.00122968,,0.00010995,0.00132471,0,,0,0.00094869,0.0000314,-0.00430162,0.0037286,0.0029128,0.00810381,-0.00098006,-0.0013261,0.00280731,0.00635492,-0.00020359,0.00636271,-0.00087312,,0.00000684,0.00001366,0.00002047,0.00002726,0.00003403,0.00004079,0.00004753,0.00005426,0.00006096,0.00006765,0.00007433,0.00008099,0.00008763,0.00009425,0.00010087,0.00010746,0.00011404,0.0001206,0.00012715,0.00013368,0.0001402,0.0001467,0.00015318,0.00015965,0.00016611,0.00017255,0.00017897,0.00018538,0.00019178,0.00019816,-0.00087312,0.0000314,0.00198242,0.00084301,0.00330808,0.00937816,0.00062111,0.00578813,0.00219735,0.00255082,0.0007908,-0.00115576,0.00138636,0.00387682,0.0008325,0.00274914,-0.00225158,-0.00683377,0.00081229,0.00000512,0.00039534,0.00074614,0.00082044,0.00035847,0.00062433,0.00050727,0.0000445,0.00127034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/01/2017,0.0000517,0.00037393,0.00037393,-0.00144926,0.00010941,-0.00199697,,-0.00210633,-0.00129836,-0.00215666,-0.00034417,-0.00105295,0.00037393,0.00725659,0.00401428,-0.00145795,-0.00685667,0.00237748,0.00370563,0,0.00173799,0.00250137,-0.00074871,0,-0.00074871,0.00515444,0,0,0.00046953,0.00173799,0.00464618,-0.00118502,0.00175989,0.00503414,0.00303996,0.00086506,0.00559335,,0.00086506,,,-0.00020761,0.0003201,0.0003201,,,0.0003201,0.0003201,0.00073837,,-0.00027215,,0.00265662,-0.00030049,0.00431106,0.00272999,-0.00030049,0.00069312,-0.00070941,-0.001746,0.00212934,0.00016439,0.00038691,0.0000517,0.00067814,0.00016439,0.00170432,,0.00110282,0.00160621,0.00016439,-0.00074197,0.00016439,0.0007586,0.0000517,0.0040568,0.00070441,0.00266146,0.00522739,0.00202313,0.00084301,0.00342558,-0.00533712,-0.00075408,-0.00134753,0.0003201,,0.00000684,0.00001366,0.00002047,0.00002726,0.00003403,0.00004079,0.00004753,0.00005426,0.00006096,0.00006765,0.00007433,0.00008099,0.00008763,0.00009425,0.00010087,0.00010746,0.00011404,0.0001206,0.00012715,0.00013368,0.0001402,0.0001467,0.00015318,0.00015965,0.00016611,0.00017255,0.00017897,0.00018538,0.00019178,0.00019816,0.0003201,0.0000517,0.00226494,0.00036794,0.00275491,-0.00493251,0.00038691,0.00250137,0.0003952,-0.00069606,0.00010941,0.00503414,0.00173799,0.0009563,0.00222086,0.00303996,0.00305312,-0.00074871,0.00219194,0.00000548,0.00020334,0.00088548,0.00088585,0.00088276,0.00104346,0.00066373,0.0000899,0.00031718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/01/2017,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.00036794,0,0,0,0,0,,0.00000684,0.00001366,0.00002047,0.00002726,0.00003403,0.00004079,0.00004753,0.00005426,0.00006096,0.00006765,0.00007433,0.00008099,0.00008763,0.00009425,0.00010087,0.00010746,0.00011404,0.0001206,0.00012715,0.00013368,0.0001402,0.0001467,0.00015318,0.00015965,0.00016611,0.00017255,0.00017897,0.00018538,0.00019178,0.00019816,0,0,0,0,0,0,0,0,0,-0.0000318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/01/2017,0,,0,,0,,,,,,,,0,,,,,,,0,0,0,0,,0,,0,0,,0,,,,0,0,0,,,,,,,0,0,,,0,0,,,,,,0,,,,,,,,0,0,0,,0,,,,,,,0,,0,,,,,,0,,,,,0,,0.00000684,0.00001366,0.00002047,0.00002726,0.00003403,0.00004079,0.00004753,0.00005426,0.00006096,0.00006765,0.00007433,0.00008099,0.00008763,0.00009425,0.00010087,0.00010746,0.00011404,0.0001206,0.00012715,0.00013368,0.0001402,0.0001467,0.00015318,0.00015965,0.00016611,0.00017255,0.00017897,0.00018538,0.00019178,0.00019816,,,,,,,,,,-0.0000399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/01/2017,0.000081,0.00901279,0.00901279,0.00828148,0.00417978,0.00600288,,0.0101011,0.00927313,0.01116597,0.00733272,0.00705713,0.00901279,-0.00720912,-0.00328474,-0.0071412,-0.00358594,-0.00260886,-0.00628046,-0.00362724,-0.00573206,-0.00441714,-0.00740393,-0.00362724,-0.00740393,-0.00512801,-0.00362724,-0.00362724,-0.00506852,-0.00573206,-0.00790457,-0.00677357,-0.01500835,0.00365594,-0.00529527,-0.00149305,,,-0.00149305,,,-0.00675121,0.0010311,0.0010311,,,0.0010311,0.0010311,0.00057379,,-0.00363113,,-0.00310703,-0.0000999,-0.00399688,-0.00297013,-0.0000999,-0.0002963,0.00162272,0.00102893,0.00283244,0.00032934,0.00027833,0.000081,0.00019351,0.00032934,0.00037801,,0.00088111,-0.00160364,0.00032934,,0.00032934,-0.00018997,0.000081,-0.007633,-0.01069189,-0.006693,-0.0034444,-0.00725712,0,-0.00407596,0.00369501,0.00099844,0.00155189,0.0010311,,0.00000684,0.00001366,0.00002047,0.00002726,0.00003403,0.00004079,0.00004753,0.00005426,0.00006096,0.00006765,0.00007433,0.00008099,0.00008763,0.00009425,0.00010087,0.00010746,0.00011404,0.0001206,0.00012715,0.00013368,0.0001402,0.0001467,0.00015318,0.00015965,0.00016611,0.00017255,0.00017897,0.00018538,0.00019178,0.00019816,0.0010311,0.000081,-0.00230953,0.00050494,-0.00234672,-0.00466622,0.00027833,-0.00441714,0.00754156,0.00747062,0.00417978,0.00365594,-0.00573206,-0.00909219,-0.00431905,-0.00529527,-0.00514893,-0.00740393,-0.00160785,0.0000146,0.00185464,0.00045465,-0.0002174,0.00024479,0.00088378,0.00033351,0.00032986,0.00824544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
